time,position,velocity,acceleration
0,0.105066667,-0.102740741,-1.334329218
0.05,0.1016,-0.157814815,-1.640886831
0.1,0.093533333,-0.248977778,-1.994962963
0.15,0.0784,-0.369259259,-2.102971193
0.2,0.056,-0.483666667,-1.701559671
0.25,0.028266667,-0.557037037,-0.874971193
0.3,-0.0018,-0.578222222,0.152983539
0.35,-0.0318,-0.542888889,1.218539095
0.4,-0.058333333,-0.452037037,2.176934156
0.45,-0.0788,-0.316111111,2.911316872
0.5,-0.0912,-0.148740741,3.342613169
0.55,-0.0942,0.032,3.427510288
0.6,-0.0878,0.207814815,3.165144033
0.65,-0.072533333,0.361259259,2.584197531
0.7,-0.050133333,0.47637037,1.750144033
0.75,-0.022933333,0.542481481,0.757119342
0.8,0.006266667,0.55437037,-0.296748971
0.85,0.034666667,0.511592593,-1.318621399
0.9,0.059466667,0.41762963,-2.213395062
0.95,0.078133333,0.281333333,-2.882777778
1,0.088733333,0.116962963,-3.245823045
1.05,0.0902,-0.057074074,-3.266687243
1.1,0.082666667,-0.22262963,-2.96100823
1.15,0.067,-0.364444444,-2.369176955
1.2,0.044733333,-0.468740741,-1.548045267
1.25,0.0182,-0.525037037,-0.581707819
1.3,-0.009866667,-0.528666667,0.431399177
1.35,-0.036733333,-0.480111111,1.399012346
1.4,-0.0598,-0.38337037,2.228230453
1.45,-0.0766,-0.24837037,2.831213992
1.5,-0.085666667,-0.088185185,3.135123457
1.55,-0.085666667,0.078666667,3.10590535
1.6,-0.077333333,0.234518519,2.769341564
1.65,-0.061266667,0.366111111,2.165390947
1.7,-0.0392,0.459481481,1.351707819
1.75,-0.013466667,0.506444444,0.410205761
1.8,0.013533333,0.501518519,-0.560390947
1.85,0.0386,0.447740741,-1.465967078
1.9,0.060066667,0.349666667,-2.23191358
1.95,0.075066667,0.215185185,-2.765041152
2,0.082333333,0.061185185,-3.004115226
2.05,0.081333333,-0.097,-2.942592593
2.1,0.072266667,-0.245,-2.582839506
2.15,0.055733333,-0.366,-1.960514403
2.2,0.034066667,-0.447777778,-1.162057613
2.25,0.009266667,-0.486037037,-0.26244856
2.3,-0.016466667,-0.47562963,0.669814815
2.35,-0.040266667,-0.416481481,1.534135802
2.4,-0.0598,-0.315296296,2.228971193
2.45,-0.073,-0.183777778,2.682716049
2.5,-0.0788,-0.036111111,2.862880658
2.55,-0.076666667,0.113222222,2.767962963
2.6,-0.067066667,0.251481481,2.400679012
2.65,-0.050466667,0.36337037,1.785679012
2.7,-0.0292,0.437259259,0.991460905
2.75,-0.004933333,0.466,0.107427984
2.8,0.019266667,0.447777778,-0.77345679
2.85,0.0416,0.385296296,-1.569238683
2.9,0.059333333,0.284407407,-2.202283951
2.95,0.071133333,0.156037037,-2.608806584
3,0.075533333,0.012851852,-2.748436214
3.05,0.0724,-0.13,-2.609053498
3.1,0.061933333,-0.258185185,-2.21308642
3.15,0.045533333,-0.359777778,-1.601440329
3.2,0.024533333,-0.425111111,-0.825082305
3.25,0.0012,-0.44562963,0.03154321
3.3,-0.021866667,-0.420518519,0.860781893
3.35,-0.0424,-0.355481481,1.59090535
3.4,-0.0588,-0.25562963,2.168950617
3.45,-0.069,-0.130148148,2.532427984
3.5,-0.072333333,0.008074074,2.635514403
3.55,-0.068133333,0.144703704,2.460720165
3.6,-0.057133333,0.263962963,2.038477366
3.65,-0.040666667,0.356,1.42345679
3.7,-0.020133333,0.412222222,0.665349794
3.75,0.002333333,0.425,-0.153004115
3.8,0.024066667,0.395074074,-0.934259259
3.85,0.043266667,0.328,-1.621584362
3.9,0.058266667,0.226888889,-2.15100823
3.95,0.066866667,0.103333333,-2.448353909
4,0.068866667,-0.027962963,-2.49600823
4.05,0.063933333,-0.155703704,-2.300761317
4.1,0.052666667,-0.267185185,-1.875576132
4.15,0.036133333,-0.351259259,-1.256316872
4.2,0.016,-0.397703704,-0.515596708
4.25,-0.005266667,-0.403481481,0.252242798
4.3,-0.0258,-0.371333333,0.990102881
4.35,-0.043933333,-0.301333333,1.640061728
4.4,-0.0572,-0.200259259,2.116378601
4.45,-0.064666667,-0.080740741,2.370452675
4.5,-0.0656,0.046518519,2.380493827
4.55,-0.059733333,0.167111111,2.146748971
4.6,-0.048133333,0.269148148,1.708312757
4.65,-0.0318,0.344666667,1.10218107
4.7,-0.0122,0.384,0.384876543
4.75,0.0082,0.383777778,-0.354650206
4.8,0.0276,0.346777778,-1.051893004
4.85,0.044266667,0.275,-1.651358025
4.9,0.056266667,0.174777778,-2.079115226
4.95,0.0624,0.057925926,-2.282860082
5,0.0622,-0.062888889,-2.251748971
5.05,0.0558,-0.175962963,-1.999135802
5.1,0.043866667,-0.270481481,-1.551646091
5.15,0.027666667,-0.33737037,-0.949773663
5.2,0.008733333,-0.369444444,-0.25308642
5.25,-0.010866667,-0.362703704,0.450411523
5.3,-0.028866667,-0.321592593,1.09100823
5.35,-0.0442,-0.250185185,1.636831276
5.4,-0.055,-0.151962963,2.02808642
5.45,-0.06,-0.038666667,2.205555556
5.5,-0.059,0.078074074,2.148230453
5.55,-0.0518,0.185185185,1.865349794
5.6,-0.039666667,0.271962963,1.397098765
5.65,-0.023466667,0.330185185,0.79627572
5.7,-0.005266667,0.354111111,0.130123457
5.75,0.013333333,0.343,-0.53526749
5.8,0.030333333,0.298592593,-1.147613169
5.85,0.0444,0.224185185,-1.651399177
5.9,0.053733333,0.126148148,-1.976769547
5.95,0.0574,0.017703704,-2.088662551
6,0.055466667,-0.090518519,-1.999609053
6.05,0.048,-0.189518519,-1.721893004
6.1,0.0358,-0.269888889,-1.268024691
6.15,0.019866667,-0.322,-0.678148148
6.2,0.0022,-0.339814815,-0.030164609
6.25,-0.0154,-0.324518519,0.609753086
6.3,-0.031533333,-0.276851852,1.193559671
6.35,-0.044266667,-0.200259259,1.65281893
6.4,-0.052333333,-0.104222222,1.931769547
6.45,-0.055066667,0.001296296,2.004670782
6.5,-0.052066667,0.104148148,1.877962963
6.55,-0.0442,0.195666667,1.578065844
6.6,-0.0318,0.268444444,1.11808642
6.65,-0.0162,0.312740741,0.535596708
6.7,0.000866667,0.323296296,-0.085102881
6.75,0.017333333,0.302740741,-0.676584362
6.8,0.032266667,0.253333333,-1.204670782
6.85,0.043733333,0.177814815,-1.617057613
6.9,0.050733333,0.085037037,-1.864979424
6.95,0.0526,-0.016555556,-1.917530864
7,0.048933333,-0.114851852,-1.7681893
7.05,0.0406,-0.200333333,-1.442983539
7.1,0.028066667,-0.264777778,-0.977057613
7.15,0.013,-0.301481481,-0.423168724
7.2,-0.003266667,-0.308222222,0.162798354
7.25,-0.019,-0.284814815,0.735473251
7.3,-0.032933333,-0.232111111,1.23845679
7.35,-0.0432,-0.155296296,1.603765432
7.4,-0.049,-0.064481481,1.793477366
7.45,-0.0498,0.030851852,1.808415638
7.5,-0.0458,0.122888889,1.653127572
7.55,-0.037066667,0.203111111,1.32691358
7.6,-0.0246,0.261481481,0.857860082
7.65,-0.0098,0.292111111,0.306995885
7.7,0.0058,0.292851852,-0.262777778
7.75,0.020666667,0.264111111,-0.792160494
7.8,0.0332,0.210148148,-1.235596708
7.85,0.042466667,0.136111111,-1.562633745
7.9,0.0474,0.047925926,-1.737386831
7.95,0.047466667,-0.045185185,-1.727839506
8,0.0426,-0.132,-1.539506173
8.05,0.033733333,-0.205074074,-1.198930041
8.1,0.021266667,-0.257074074,-0.733271605
8.15,0.006866667,-0.281,-0.201975309
8.2,-0.007933333,-0.277037037,0.330493827
8.25,-0.021866667,-0.24662963,0.828497942
8.3,-0.0336,-0.191222222,1.248209877
8.35,-0.041733333,-0.117074074,1.545596708
