time,position,velocity,acceleration
0,0.194933333,-0.286666667,-2.452123457
0.05,0.184066667,-0.392444444,-2.86837037
0.1,0.163,-0.552822222,-3.285753086
0.15,0.130533333,-0.743111111,-3.25572428
0.2,0.087333333,-0.914592592,-2.441613169
0.25,0.0362,-1.015481481,-0.951518518
0.3,-0.018066667,-1.021925926,0.863641975
0.35,-0.07,-0.928703704,2.686666667
0.4,-0.114666667,-0.742777778,4.257427984
0.45,-0.147133333,-0.485,5.387016461
0.5,-0.164933333,-0.18237037,5.972160494
0.55,-0.166,0.135888889,5.961460905
0.6,-0.150666667,0.437259259,5.361316873
0.65,-0.120466667,0.693074074,4.234670782
0.7,-0.078466667,0.876962963,2.69936214
0.75,-0.029266667,0.972703704,0.915082305
0.8,0.0226,0.972259259,-0.958827161
0.85,0.071933333,0.873074074,-2.73308642
0.9,0.1134,0.686740741,-4.208292181
0.95,0.1432,0.434518519,-5.242263374
1,0.158466667,0.14162963,-5.747427984
1.05,0.157866667,-0.163333333,-5.673353909
1.1,0.141333333,-0.448592593,-5.02909465
1.15,0.111066667,-0.685629629,-3.896028807
1.2,0.07,-0.852851852,-2.392839506
1.25,0.022333333,-0.933740741,-0.667263375
1.3,-0.027066667,-0.921666667,1.111193416
1.35,-0.073466667,-0.818222222,2.774423868
1.4,-0.1122,-0.632555556,4.145802469
1.45,-0.139133333,-0.386037037,5.081111111
1.5,-0.1522,-0.104,5.501748971
1.55,-0.149866667,0.186037037,5.3718107
1.6,-0.132733333,0.454555556,4.708251029
1.65,-0.102466667,0.674925926,3.588045268
1.7,-0.062533333,0.826814815,2.12590535
1.75,-0.016533333,0.89637037,0.450288066
1.8,0.030866667,0.873148148,-1.256975309
1.85,0.0742,0.763888889,-2.805761317
1.9,0.110133333,0.581185185,-4.06664609
1.95,0.1346,0.341592593,-4.925884774
2,0.145666667,0.068444445,-5.281831276
2.05,0.1416,-0.208814815,-5.089547325
2.1,0.123733333,-0.460666667,-4.391707819
2.15,0.0936,-0.664185185,-3.279176955
2.2,0.054666667,-0.800666667,-1.85936214
2.25,0.0104,-0.857814815,-0.254279835
2.3,-0.034666667,-0.827074074,1.371995885
2.35,-0.0756,-0.713777778,2.83553498
2.4,-0.108733333,-0.531925926,4.006502057
2.45,-0.130933333,-0.297148148,4.772736626
2.5,-0.139533333,-0.035037037,5.050144033
2.55,-0.134466667,0.228111111,4.819197531
2.6,-0.115733333,0.466185185,4.104753086
2.65,-0.085866667,0.654814815,2.985617284
2.7,-0.047533333,0.775740741,1.587427984
