time,position,velocity,acceleration
0,0.292266667,-0.435333333,-3.868312757
0.05,0.275866667,-0.601222222,-4.545761317
0.1,0.243866667,-0.856111111,-5.216950617
0.15,0.193266667,-1.161481481,-5.113868313
0.2,0.1252,-1.429185185,-3.686131687
0.25,0.045266667,-1.574185185,-1.203395062
0.3,-0.0386,-1.563740741,1.688621399
0.35,-0.117266667,-1.399037037,4.472530864
0.4,-0.183866667,-1.098555556,6.813004115
0.45,-0.231466667,-0.690185185,8.459958848
0.5,-0.255466667,-0.217296296,9.231851852
0.55,-0.253733333,0.270222222,9.073024691
0.6,-0.227133333,0.725074074,8.028333333
0.65,-0.1782,1.103740741,6.210699588
0.7,-0.112266667,1.369777778,3.799135802
0.75,-0.035733333,1.497925926,1.028539095
0.8,0.043466667,1.476518519,-1.83409465
0.85,0.117866667,1.306666667,-4.49526749
0.9,0.179333333,1.007,-6.662654321
0.95,0.222333333,0.612037037,-8.125
1,0.242733333,0.16162963,-8.761893004
1.05,0.238866667,-0.298518519,-8.532572016
1.1,0.211533333,-0.724592593,-7.472736626
1.15,0.1634,-1.074962963,-5.684156379
1.2,0.0996,-1.31462963,-3.353621399
1.25,0.026666667,-1.422111111,-0.7218107
1.3,-0.0482,-1.388740741,1.959259259
1.35,-0.117666667,-1.218259259,4.435864198
1.4,-0.174866667,-0.926962963,6.455144033
1.45,-0.213933333,-0.545962963,7.805967078
1.5,-0.231466667,-0.114518519,8.358395062
1.55,-0.225666667,0.323814815,8.062078189
1.6,-0.197533333,0.723777778,6.962983539
1.65,-0.1502,1.04662963,5.19526749
1.7,-0.0886,1.262333333,2.945473251
1.75,-0.018933333,1.351518519,0.433539095
1.8,0.051866667,1.306851852,-2.104609053
1.85,0.116933333,1.132444444,-4.4218107
1.9,0.1696,0.846037037,-6.275041152
1.95,0.204733333,0.478888889,-7.479320988
2,0.2192,0.068296296,-7.93127572
2.05,0.211733333,-0.345888889,-7.587592593
2.1,0.183066667,-0.721259259,-6.478786008
2.15,0.136466667,-1.018962963,-4.737921811
2.2,0.077,-1.212074074,-2.561049383
2.25,0.010466667,-1.284148148,-0.155144033
2.3,-0.056533333,-1.227851852,2.252386831
2.35,-0.1172,-1.049333333,4.417654321
2.4,-0.1656,-0.767407407,6.116707819
2.45,-0.196866667,-0.412,7.177263374
2.5,-0.2082,-0.020740741,7.511481481
2.55,-0.198866667,0.368592593,7.102942387
2.6,-0.169733333,0.717444444,5.994670782
2.65,-0.124133333,0.991444444,4.300864198
2.7,-0.066533333,1.163888889,2.195596708
2.75,-0.003066667,1.218851852,-0.107942387
2.8,0.0602,1.152037037,-2.383395062
2.85,0.116733333,0.970222222,-4.40063786
2.9,0.161,0.693481481,-5.955514403
2.95,0.188733333,0.350222222,-6.897695473
3,0.197266667,-0.02437037,-7.136872428
3.05,0.186,-0.391851852,-6.662942387
3.1,0.1564,-0.716925926,-5.530679012
3.15,0.111266667,-0.966259259,-3.862345679
3.2,0.055866667,-1.11737037,-1.834053498
3.25,-0.004933333,-1.156333333,0.360823045
3.3,-0.0644,-1.079148148,2.501481481
3.35,-0.117066667,-0.895814815,4.378786008
3.4,-0.1576,-0.622777778,5.796296296
3.45,-0.1816,-0.292037037,6.613312757
3.5,-0.1878,0.064222222,6.776460905
3.55,-0.174933333,0.412888889,6.255576132
3.6,-0.144666667,0.715703704,5.095823045
3.65,-0.100266667,0.942037037,3.444074074
3.7,-0.0466,1.071703704,1.489218107
3.75,0.011066667,1.095666667,-0.587283951
3.8,0.067266667,1.011222222,-2.607613169
3.85,0.116333333,0.824259259,-4.357407407
3.9,0.152933333,0.556259259,-5.637407407
3.95,0.173933333,0.237333333,-6.338374486
4,0.177466667,-0.101962963,-6.415987654
4.05,0.163333333,-0.429777778,-5.852427984
4.1,0.132666667,-0.711740741,-4.687613169
4.15,0.089,-0.916518519,-3.070246914
4.2,0.037333333,-1.028555556,-1.191131687
4.25,-0.0178,-1.039925926,0.792325103
4.3,-0.070866667,-0.94662963,2.698497942
4.35,-0.116266667,-0.758481481,4.318600823
4.4,-0.1496,-0.497,5.493065844
