time,position,velocity,acceleration
0,0.246866667,-0.269111111,-3.216349794
0.05,0.237733333,-0.405166667,-3.8583107
0.1,0.216133333,-0.619133333,-4.573438272
0.15,0.179066667,-0.889259259,-4.732820988
0.2,0.125866667,-1.145222222,-3.770590535
0.25,0.060666667,-1.308296296,-1.814061728
0.3,-0.0102,-1.344,0.615679012
0.35,-0.079066667,-1.246296296,3.070514403
0.4,-0.1398,-1.024333333,5.21962963
0.45,-0.185533333,-0.701703704,6.812613169
0.5,-0.212466667,-0.315074074,7.70590535
0.55,-0.218133333,0.098925926,7.837962963
0.6,-0.202066667,0.499703704,7.192942387
0.65,-0.166,0.846555556,5.839279835
0.7,-0.113933333,1.106222222,3.918436214
0.75,-0.050866667,1.253037037,1.626995885
0.8,0.016333333,1.27462963,-0.807736626
0.85,0.081666667,1.169,-3.152304527
0.9,0.138,0.945296296,-5.148333333
0.95,0.179733333,0.631740741,-6.591563786
1,0.203466667,0.259962963,-7.372283951
1.05,0.206666667,-0.13462963,-7.41936214
1.1,0.189266667,-0.511296296,-6.730925926
1.15,0.1534,-0.834,-5.381563786
1.2,0.102466667,-1.071,-3.499279835
1.25,0.0418,-1.196703704,-1.294547325
1.3,-0.021933333,-1.203296296,0.994279835
1.35,-0.083133333,-1.093,3.171893004
1.4,-0.1356,-0.873814815,5.032427984
1.45,-0.173933333,-0.569185185,6.377119342
1.5,-0.194733333,-0.209481481,7.061028807
1.55,-0.195466667,0.165888889,7.02244856
1.6,-0.177266667,0.519851852,6.295
1.65,-0.1414,0.820185185,4.945720165
1.7,-0.0918,1.034481481,3.104855967
1.75,-0.0336,1.141259259,0.99191358
1.8,0.0268,1.135037037,-1.170041152
1.85,0.0842,1.019407407,-3.204855967
1.9,0.1328,0.80262963,-4.928497942
1.95,0.167666667,0.506333333,-6.147160494
2,0.185333333,0.162185185,-6.728065844
2.05,0.184333333,-0.193814815,-6.624547325
2.1,0.165,-0.526185185,-5.866419753
2.15,0.129533333,-0.803333333,-4.534176955
2.2,0.081333333,-0.997222222,-2.762572016
2.25,0.025733333,-1.089333333,-0.741111111
2.3,-0.031866667,-1.073444444,1.334979424
2.35,-0.085866667,-0.950666667,3.272572016
2.4,-0.1308,-0.732185185,4.860761317
2.45,-0.161866667,-0.443481481,5.929773663
2.5,-0.176666667,-0.115481481,6.399835391
2.55,-0.1738,0.221481481,6.236954733
2.6,-0.153533333,0.53337037,5.448497942
2.65,-0.118133333,0.787703704,4.125555556
2.7,-0.071533333,0.961111111,2.41526749
2.75,-0.0182,1.038037037,0.482469136
2.8,0.0364,1.011185185,-1.490946502
2.85,0.087,0.882518519,-3.301666667
2.9,0.128133333,0.666703704,-4.758600823
2.95,0.1562,0.386888889,-5.722407407
3,0.1682,0.071888889,-6.112736626
3.05,0.163666667,-0.248888889,-5.886728395
3.1,0.1422,-0.541592593,-5.052057613
3.15,0.107,-0.773518519,-3.728333333
3.2,0.061733333,-0.926851852,-2.07718107
3.25,0.010733333,-0.988925926,-0.234917695
3.3,-0.041133333,-0.951666667,1.631028807
3.35,-0.088266667,-0.818925926,3.32436214
3.4,-0.126266667,-0.604888889,4.664567901
3.45,-0.151,-0.333555556,5.52781893
3.5,-0.160933333,-0.030111111,5.834547325
3.55,-0.154066667,0.274296296,5.537530864
3.6,-0.132133333,0.545740741,4.686255144
3.65,-0.097266667,0.760703704,3.383765432
3.7,-0.052933333,0.897222222,1.755205761
3.75,-0.003866667,0.942037037,-0.022880658
3.8,0.044933333,0.894111111,-1.780987654
3.85,0.089133333,0.756555556,-3.35090535
3.9,0.123533333,0.545,-4.569670782
3.95,0.145733333,0.280925926,-5.320699588
4,0.152666667,-0.009074074,-5.525617284
4.05,0.144533333,-0.293148148,-5.186604938
4.1,0.1222,-0.54737037,-4.346604938
4.15,0.0876,-0.745777778,-3.063847737
4.2,0.044466667,-0.866111111,-1.475658436
4.25,-0.002533333,-0.898185185,0.23899177
4.3,-0.048933333,-0.840222222,1.906502058
4.35,-0.089866667,-0.699111111,3.363744856
4.4,-0.121533333,-0.490185185,4.47600823
4.45,-0.1408,-0.233518519,5.134814815
4.5,-0.145733333,0.044296296,5.269341564
4.55,-0.136066667,0.314740741,4.871111111
4.6,-0.112866667,0.550555556,3.991069959
4.65,-0.078733333,0.729148148,2.724897119
4.7,-0.037,0.833481481,1.198312757
4.75,0.008,0.853185185,-0.432654321
4.8,0.051733333,0.787444444,-1.998024691
4.85,0.0898,0.644703704,-3.349444444
4.9,0.118666667,0.439444444,-4.368683128
4.95,0.135466667,0.191148148,-4.958539095
5,0.138666667,-0.077407407,-5.029259259
5.05,0.1272,-0.333888889,-4.562489712
5.1,0.1036,-0.550481481,-3.661790123
5.15,0.070066667,-0.712851852,-2.428168724
5.2,0.029466667,-0.80337037,-0.95191358
5.25,-0.0136,-0.811518519,0.610411523
5.3,-0.054866667,-0.739222222,2.098230453
5.35,-0.090466667,-0.593111111,3.368127572
5.4,-0.116533333,-0.388296296,4.286028807
5.45,-0.130733333,-0.146925926,4.763868313
5.5,-0.131733333,0.107148148,4.76063786
5.55,-0.119533333,0.348555556,4.273353909
5.6,-0.095333333,0.551740741,3.357798354
5.65,-0.062,0.696592593,2.128168724
5.7,-0.022933333,0.771851852,0.708868313
5.75,0.0182,0.770666667,-0.78191358
5.8,0.057333333,0.690518519,-2.190123457
5.85,0.09,0.541518519,-3.353765432
5.9,0.113466667,0.341518519,-4.17372428
5.95,0.125533333,0.107703704,-4.575761317
6,0.1246,-0.135037037,-4.506934156
6.05,0.111333333,-0.361037037,-3.985740741
6.1,0.087,-0.549185185,-3.071954733
6.15,0.054133333,-0.680185185,-1.859938272
6.2,0.0162,-0.741814815,-0.479012346
6.25,-0.023,-0.729148148,0.932962963
6.3,-0.059533333,-0.644925926,2.249567901
6.35,-0.090133333,-0.49537037,3.33973251
6.4,-0.111066667,-0.296296296,4.071193416
6.45,-0.120733333,-0.071518519,4.384403292
6.5,-0.118466667,0.159148148,4.264115226
6.55,-0.104133333,0.372111111,3.714238683
6.6,-0.079666667,0.545555556,2.7931893
6.65,-0.047266667,0.661814815,1.606975309
6.7,-0.010866667,0.711666667,0.279197531
6.75,0.026666667,0.691333333,-1.079814815
6.8,0.0612,0.599037037,-2.321255144
6.85,0.088866667,0.448555556,-3.304382716
6.9,0.107733333,0.255333333,-3.951748971
6.95,0.1154,0.037555556,-4.199917695
7,0.111533333,-0.181555556,-4.025411523
7.05,0.096466667,-0.381037037,-3.449074074
7.1,0.0718,-0.540037037,-2.53154321
7.15,0.040266667,-0.643740741,-1.371728395
7.2,0.004866667,-0.682777778,-0.076872428
7.25,-0.030866667,-0.651222222,1.213065844
7.3,-0.0628,-0.555444444,2.358395062
7.35,-0.088533333,-0.405851852,3.262160494
7.4,-0.105,-0.216185185,3.836399177
7.45,-0.110933333,-0.006740741,4.022880658
7.5,-0.105666667,0.202333333,3.80255144
7.55,-0.0898,0.388962963,3.196213992
7.6,-0.065133333,0.53462963,2.271954733
7.65,-0.034133333,0.624962963,1.127901235
7.7,-6.66667E-05,0.651222222,-0.112386831
7.75,0.0336,0.612111111,-1.318292181
7.8,0.063466667,0.513777778,-2.382921811
7.85,0.087,0.364888889,-3.21627572
7.9,0.101466667,0.178925926,-3.720864198
7.95,0.105466667,-0.022407407,-3.845
8,0.099133333,-0.220851852,-3.582325103
8.05,0.082466667,-0.395888889,-2.944876543
8.1,0.057733333,-0.526888889,-2.017798354
8.15,0.027666667,-0.604518519,-0.911378601
8.2,-0.005133333,-0.621185185,0.273518519
8.25,-0.036933333,-0.575777778,1.421872428
8.3,-0.065,-0.473,2.420596708
8.35,-0.086066667,-0.323888889,3.171111111
8.4,-0.098666667,-0.143074074,3.598065844
8.45,-0.100933333,0.051222222,3.6481893
8.5,-0.093133333,0.236481481,3.330576132
8.55,-0.076266667,0.396296296,2.701255144
8.6,-0.052,0.517185185,1.807119342
8.65,-0.0224,0.584703704,0.726234568
8.7,0.008866667,0.592407407,-0.421460905
8.75,0.0392,0.540592593,-1.519567901
8.8,0.065133333,0.433814815,-2.450967078
8.85,0.084266667,0.284777778,-3.117160494
8.9,0.094666667,0.109074074,-3.459814815
8.95,0.095466667,-0.074703704,-3.460452675
9,0.086866667,-0.249925926,-3.128641975
9.05,0.069533333,-0.400518519,-2.476872428
9.1,0.045066667,-0.508111111,-1.568559671
9.15,0.0166,-0.562888889,-0.517695473
9.2,-0.013466667,-0.561074074,0.566995885
9.25,-0.041733333,-0.503333333,1.581213992
9.3,-0.065733333,-0.396666667,2.435082305
9.35,-0.083,-0.250259259,3.046358025
9.4,-0.091733333,-0.079481481,3.344711934
9.45,-0.0912,0.097814815,3.301728395
9.5,-0.081533333,0.264259259,2.920185185
9.55,-0.0636,0.401703704,2.24308642
9.6,-0.039666667,0.496888889,1.353436214
9.65,-0.011933333,0.541962963,0.339567901
9.7,0.016733333,0.531962963,-0.70026749
9.75,0.0434,0.468555556,-1.657530864
9.8,0.0654,0.359259259,-2.440617284
9.85,0.080733333,0.214777778,-2.977119342
9.9,0.087733333,0.049222222,-3.206934156
9.95,0.085733333,-0.118925926,-3.110781893
10,0.075333333,-0.274074074,-2.70526749
10.05,0.0572,-0.400592593,-2.024876543
10.1,0.033533333,-0.48437037,-1.149156379
10.15,0.0068,-0.518925926,-0.179567901
10.2,-0.020333333,-0.502888889,0.802654321
10.25,-0.045533333,-0.435962963,1.709855967
10.3,-0.065733333,-0.324518519,2.435061728
10.35,-0.0792,-0.182037037,2.903168724
10.4,-0.0846,-0.02262963,3.077469136
10.45,-0.081533333,0.138074074,2.940123457
10.5,-0.0702,0.283703704,2.499403292
10.55,-0.051866667,0.397814815,1.81244856
10.6,-0.0288,0.471148148,0.962407407
10.65,-0.002933333,0.497888889,0.019876543
10.7,0.023066667,0.473333333,-0.922366255
10.75,0.046333333,0.400851852,-1.752469136
10.8,0.0646,0.290703704,-2.399032922
10.85,0.076533333,0.152222222,-2.815967078
10.9,0.080533333,-0.00262963,-2.941646091
10.95,0.076133333,-0.154814815,-2.754506173
11,0.064266667,-0.288407407,-2.301419753
11.05,0.0462,-0.393444444,-1.629917695
11.1,0.023333333,-0.458407407,-0.790452675
11.15,-0.0016,-0.475333333,0.121049383
11.2,-0.026066667,-0.444925926,1.004423868
11.25,-0.0478,-0.371074074,1.787530864
11.3,-0.064733333,-0.258962963,2.387983539
11.35,-0.074666667,-0.122148148,2.736995885
11.4,-0.0774,0.025925926,2.804609053
11.45,-0.071933333,0.170148148,2.58
11.5,-0.059533333,0.294,2.10244856
11.55,-0.041333333,0.387666667,1.43436214
11.6,-0.019266667,0.442925926,0.628374486
11.65,0.004733333,0.453592593,-0.247942387
11.7,0.028,0.417111111,-1.096666667
