time,15cm,15cm_vel,20cm,20cm_vel,25cm,25cm_vel,30cm,30cm_vel,35cm,35cm_vel
2.05,0.103066667,-0.286037037,0.1416,-0.208814815,0.184333333,-0.193814815,0.211733333,-0.345888889,0.233933333,0.301703704
2.1,0.083,-0.462518519,0.123733333,-0.460666667,0.165,-0.526185185,0.183066667,-0.721259259,0.2376,-0.154851852
2.15,0.054866667,-0.590481481,0.0936,-0.664185185,0.129533333,-0.803333333,0.136466667,-1.018962963,0.217533333,-0.589148148
2.2,0.021666667,-0.660074074,0.054666667,-0.800666667,0.081333333,-0.997222222,0.077,-1.212074074,0.176066667,-0.958481481
2.25,-0.0138,-0.663185185,0.0104,-0.857814815,0.025733333,-1.089333333,0.010466667,-1.284148148,0.117733333,-1.228481481
2.3,-0.047333333,-0.599518519,-0.034666667,-0.827074074,-0.031866667,-1.073444444,-0.056533333,-1.227851852,0.048333333,-1.375037037
2.35,-0.076066667,-0.477333333,-0.0756,-0.713777778,-0.085866667,-0.950666667,-0.1172,-1.049333333,-0.025333333,-1.382592593
2.4,-0.096933333,-0.308185185,-0.108733333,-0.531925926,-0.1308,-0.732185185,-0.1656,-0.767407407,-0.095466667,-1.251666667
2.45,-0.108066667,-0.10937037,-0.130933333,-0.297148148,-0.161866667,-0.443481481,-0.196866667,-0.412,-0.155333333,-0.99862963
2.5,-0.108333333,0.100333333,-0.139533333,-0.035037037,-0.176666667,-0.115481481,-0.2082,-0.020740741,-0.1992,-0.648481481
2.55,-0.097533333,0.297777778,-0.134466667,0.228111111,-0.1738,0.221481481,-0.198866667,0.368592593,-0.222666667,-0.236444444
2.6,-0.0772,0.462,-0.115733333,0.466185185,-0.153533333,0.53337037,-0.169733333,0.717444444,-0.2236,0.19462963
2.65,-0.049466667,0.579037037,-0.085866667,0.654814815,-0.118133333,0.787703704,-0.124133333,0.991444444,-0.2022,0.600851852
2.7,-0.016933333,0.637,-0.047533333,0.775740741,-0.071533333,0.961111111,-0.066533333,1.163888889,-0.160866667,0.941296296
2.75,0.016733333,0.631814815,-0.0052,0.818740741,-0.0182,1.038037037,-0.003066667,1.218851852,-0.1042,1.184407407
2.8,0.048733333,0.564037037,0.037533333,0.781185185,0.0364,1.011185185,0.0602,1.152037037,-0.037666667,1.30762963
2.85,0.075466667,0.438777778,0.076066667,0.665148148,0.087,0.882518519,0.116733333,0.970222222,0.031866667,1.298333333
2.9,0.094266667,0.271481481,0.1066,0.484481481,0.128133333,0.666703704,0.161,0.693481481,0.097333333,1.159481481
2.95,0.1036,0.078925926,0.126466667,0.25537037,0.1562,0.386888889,0.188733333,0.350222222,0.152333333,0.906925926
3,0.102466667,-0.120777778,0.133133333,0.001814815,0.1682,0.071888889,0.197266667,-0.02437037,0.191533333,0.566333333
3.05,0.091,-0.307111111,0.126466667,-0.248,0.163666667,-0.248888889,0.186,-0.391851852,0.211066667,0.172962963
3.1,0.0704,-0.460074074,0.1072,-0.469814815,0.1422,-0.541592593,0.1564,-0.716925926,0.2094,-0.234222222
3.15,0.043066667,-0.565111111,0.077533333,-0.642592593,0.107,-0.773518519,0.111266667,-0.966259259,0.186466667,-0.612444444
3.2,0.011666667,-0.613888889,0.0404,-0.751111111,0.061733333,-0.926851852,0.055866667,-1.11737037,0.145466667,-0.923962963
3.25,-0.020733333,-0.601740741,-0.0006,-0.783925926,0.010733333,-0.988925926,-0.004933333,-1.156333333,0.090333333,-1.141037037
3.3,-0.050933333,-0.529037037,-0.041133333,-0.738074074,-0.041133333,-0.951666667,-0.0644,-1.079148148,0.026733333,-1.242074074
3.35,-0.0758,-0.402740741,-0.077333333,-0.618814815,-0.088266667,-0.818925926,-0.117066667,-0.895814815,-0.038866667,-1.218
3.4,-0.092733333,-0.237666667,-0.105466667,-0.438185185,-0.126266667,-0.604888889,-0.1576,-0.622777778,-0.099866667,-1.073
3.45,-0.1004,-0.051148148,-0.1228,-0.215666667,-0.151,-0.333555556,-0.1816,-0.292037037,-0.150466667,-0.820962963
3.5,-0.098066667,0.140074074,-0.127866667,0.027407407,-0.160933333,-0.030111111,-0.1878,0.064222222,-0.185133333,-0.489481481
3.55,-0.085733333,0.315222222,-0.119933333,0.26662963,-0.154066667,0.274296296,-0.174933333,0.412888889,-0.201066667,-0.115111111
3.6,-0.0652,0.456925926,-0.099933333,0.474962963,-0.132133333,0.545740741,-0.144666667,0.715703704,-0.197,0.267592593
3.65,-0.038266667,0.553185185,-0.0704,0.632666667,-0.097266667,0.760703704,-0.100266667,0.942037037,-0.173133333,0.620296296
3.7,-0.007533333,0.59162963,-0.034133333,0.726518518,-0.052933333,0.897222222,-0.0466,1.071703704,-0.132266667,0.906037037
3.75,0.023266667,0.570666667,0.005133333,0.747740741,-0.003866667,0.942037037,0.011066667,1.095666667,-0.0788,1.09837037
3.8,0.051666667,0.494962963,0.043533333,0.695740741,0.044933333,0.894111111,0.067266667,1.011222222,-0.018,1.179296296
3.85,0.0748,0.369037037,0.0776,0.572481481,0.089133333,0.756555556,0.116333333,0.824259259,0.0438,1.142592593
3.9,0.09,0.207111111,0.103,0.393185185,0.123533333,0.545,0.152933333,0.556259259,0.100866667,0.990777778
3.95,0.096266667,0.025888889,0.118333333,0.177333333,0.145733333,0.280925926,0.173933333,0.237333333,0.1468,0.740851852
4,0.092733333,-0.158111111,0.121533333,-0.057037037,0.152666667,-0.009074074,0.177466667,-0.101962963,0.1778,0.419444444
4.05,0.079666667,-0.323185185,0.112266667,-0.282555556,0.144533333,-0.293148148,0.163333333,-0.429777778,0.1902,0.060740741
4.1,0.059066667,-0.454481481,0.091933333,-0.475740741,0.1222,-0.54737037,0.132666667,-0.711740741,0.183933333,-0.299518519
4.15,0.0324,-0.539814815,0.062733333,-0.619703704,0.0876,-0.745777778,0.089,-0.916518519,0.159,-0.62762963
4.2,0.002866667,-0.569777778,0.0276,-0.702962963,0.044466667,-0.866111111,0.037333333,-1.028555556,0.1184,-0.887555556
4.25,-0.0268,-0.543407407,-0.0104,-0.715333333,-0.002533333,-0.898185185,-0.0178,-1.039925926,0.066666667,-1.057259259
4.3,-0.053733333,-0.461222222,-0.046933333,-0.653740741,-0.048933333,-0.840222222,-0.070866667,-0.94662963,0.008466667,-1.120703704
4.35,-0.074733333,-0.333703704,-0.078266667,-0.528555556,-0.089866667,-0.699111111,-0.116266667,-0.758481481,-0.05,-1.069740741
